clip-index,trick-index,trick,switch / nollie,line,slowmo,obstacle,obstacle-detailed,location,video,year,notes,crust,,
22,33,switch fs 180 to fs 5-0,1,,,ledge,hubba,Hubba Hideout,Timecode,1997,,,,

23,34,switch crooked,1,,1,ledge,hubba,Hubba Hideout,Timecode,1997,"looks like a sw nosegrind, but ruled sw crooked",,,

1,1,nollie bs kicklfip,1,1,,flat,,,411 # 30 AWS Ind.,1998,all of Fred's footage is black & white,,,

1,2,switch 5-0 to fs 180 out,1,1,,ledge,,,411 # 30 AWS Ind.,1998,,,,

2,3,ollie,,,,flat,over rail,into bank,411 # 30 AWS Ind.,1998,,1,,

3,4,switch fs 180,1,,,launch,,,411 # 30 AWS Ind.,1998,,,,

4,5,switch bs lipslide,1,,,rail,flatrail,park,411 # 30 AWS Ind.,1998,,,,

5,6,bs kickflip,,,,hip,,park,411 # 30 AWS Ind.,1998,,,,

6,7,fakie ollie to switch crooked,,,,ledge,,park,411 # 30 AWS Ind.,1998,,,,

7,8,switch fs tailslide to normal,1,,,ledge,,,411 # 30 AWS Ind.,1998,,,,

8,9,switch 5-0 to fs 180 out,1,,,ledge,out ledge,Pyramid Ledges,411 # 30 AWS Ind.,1998,,,,

1,1,switch fs 5-0 to switch fs 180 ,1,,,ledge,,Pyramid Ledges,Zoo York - Peep This,1999,,,,

2,2,ollie,,,,launch,propped up grate,,Zoo York - Peep This,1999,,,,

3,3,bs crooked to fakie,,,,ledge,,,Zoo York - Peep This,1999,,,,

1,1,ollie,,1,,flat,into bank,,Photosynthesis,2000,not including out of focus opening graphic trick,,,

1,2,nollie bs 180,1,1,,flat,,,Photosynthesis,2000,,,,

1,3,switch fs 180 to fs 5-0,1,1,,rail,handrail,,Photosynthesis,2000,,,,

2,4,fs 5-0 grind,,,,ledge,hubba,,Photosynthesis,2000,,,,

3,5,switch crooked to forward,1,,,ledge,to bank to drop,NY Courthouse,Photosynthesis,2000,,,,

4,6,kickflip bs wallride,,,,transition,bank to wall,Brooklyn Banks,Photosynthesis,2000,"different time, TWS cover",,,

5,7,varial heelflip,,,,flat,street hip,,Photosynthesis,2000, ,,,

6,8,switch ollie,1,,,flat,over chain into bank,,Photosynthesis,2000,,1,,

7,8,switch ollie,1,,,flat,over chain into bank,,Photosynthesis,2000,same trick as clip 6,1,,

8,9,switch fs 180 to fs 5-0 to fs 180 ,1,,,ledge,out ledge,,Photosynthesis,2000,,,,

9,10,bs crooked,,,,rail,handrail,,Photosynthesis,2000,,,,

10,11,fs tailslide,,,,rail,flat rail,,Photosynthesis,2000,,1,,

11,12,ollie,,,,gap,into bank,,Photosynthesis,2000,,1,,

12,13,nollie fs 5-0,1,,,ledge,out ledge,Love Park,Photosynthesis,2000,,,,

13,14,bs crooked to fakie,,,,rail,flat rail,,Photosynthesis,2000,,1,,

14,15,nollie hardflip,1,,,gap,over can,Love Park,Photosynthesis,2000,,,,

15,16,switch fs tailslide to forward,1,,,ledge,,,Photosynthesis,2000,,,,

16,17,switch fs tailslide to forward,1,1,,ledge,,,Photosynthesis,2000,,,,

16,18,nollie hardflip,1,1,,stairs,,,Photosynthesis,2000,,,,

17,19,gap to bs 5-0 to bs 180,,,,ledge,gap into,J Kwon,Photosynthesis,2000,,,,

18,20,switch ollie,1,,,gap,flat gap,,Photosynthesis,2000,,,,

19,21,heelflip,,,,gap,,,Photosynthesis,2000,,,,

20,22,nollie,1,1,,gap,,,Photosynthesis,2000,,,,

20,23,nollie bs crooked,1,1,,ledge,,,Photosynthesis,2000,,,,

21,24,nollie fs 180,1,,,gap,over rail,,Photosynthesis,2000,,,,

22,25,switch fs 180 to fs 5-0,1,,,ledge,hubba,,Photosynthesis,2000,,,,

23,26,switch fs 5-0 to fs 180,1,,1,ledge,hubba,,Photosynthesis,2000,,,,

24,27,switch crooked,1,,1,rail,handrail,FL ledge rail thing,Photosynthesis,2000,,,,

1,1,bs 360 ollie,,1,,flat,,,Mosaic,2003,,,,

1,2,bs wallride,,1,,wall,bank to wall,,Mosaic,2003,,1,,

2,3,fs ollie,,,,transition,street quarter,,Mosaic,2003,,,,

3,4,bs tail stall,,,,transition,pool,,Mosaic,2003,,,,

4,5,nollie fs lipslide,1,,,ledge,hubba,,Mosaic,2003,,,,

5,6,switch backside wallride,1,,,wall,down stairs,,Mosaic,2003, ,,,

6,6,switch backside wallride,1,,,wall,down stairs,,Mosaic,2003,fisheye angle of clip 5,,,

7,7,fs wallride,,,1,wall,down stairs,,Mosaic,2003,,,,

8,8,fs lipslide,,1,,ledge,banked ledge,,Mosaic,2003,,,,

8,9,fs ollie,,1,,gap,bank to bank,,Mosaic,2003,,,,

8,10,360 flip,,1,,flat,,,Mosaic,2003,,,,

9,11,switch fs 5-0 to fs tailslide,1,,,ledge,,,Mosaic,2003,,,,

10,12,bs nosepick to yank out,,,,transition,street quarter,,Mosaic,2003,,,,

11,13,switch bs 5-0,1,1,,ledge, ,,Mosaic,2003,,,,

11,14,fakie heelflip,,1,,flat,,,Mosaic,2003,,,,

11,15,switch varial flip,1,1,,stairs,,,Mosaic,2003,,,,

12,16,switch fs 180,1,,,gap,street gap,,Mosaic,2003,,,,

13,17,switch fs 5-0 to fs shove,1,,,ledge,,Pyramid Ledges,Mosaic,2003,,,,

14,18,bs shove,,,,gap,flat gap,,Mosaic,2003,,,,

15,19,fs 5-0 to bs shove,,,,ledge,ride on / into bank,,Mosaic,2003,,,,

16,20,bs lipslide,,,,ledge,launch into,,Mosaic,2003,,,,

17,21,fs boardslide,,,,rail,launch into flat rail,,Mosaic,2003,,1,,

18,22,varial heelflip,,,,transition,street hip,,Mosaic,2003,,,,

19,23,ollie to fs tailslide,,,,ledge,gap to banked ledge,,Mosaic,2003,,,,

20,24,switch fs 180,1,1,,flat,over can / into bank,,Mosaic,2003,,,,

20,25,fs wallride,,1,,wall,bank to wall,,Mosaic,2003,,1,,

21,26,fs ollie,,,,gap,bank to bank,,Mosaic,2003,,,,

22,27,kickflip,,,,gap,into bank,,Mosaic,2003,,,,

23,28,fs bluntslide to fakie,,,,ledge,,,Mosaic,2003,,1,,

24,29,switch fs boardslide fs 180 out,1,,,ledge,hubba,,Mosaic,2003,"log as ""to forward""?",,,

25,30,fs kickflip,,,,transition,park,,Mosaic,2003,,,,

26,31,fs tailslide to fs revert,,,,transition,park, ,Mosaic,2003,,,,

27,32,fs nosebluntslide,,,,transition,park,,Mosaic,2003,,,,

28,33,ollie  ,,,,gap,into bank,,Mosaic,2003,,,,

29,34,switch,1,,,over rail,into bank,,Mosaic,2003,,,,

1,1,fs ollie,,1,,hip,,ditch,Decade of Destruction,2005,,1,,

1,2,fs ollie,,1,,transition,,ditch,Decade of Destruction,2005,,1,,

2,3,fs axel stall,,,,transition,bank to bar,,Decade of Destruction,2005,,1,,

3,4,fs noseblunt transfer,,,,transition,street spine,,Decade of Destruction,2005,,,,

4,5,ollie,,,,gap,into bank,,Decade of Destruction,2005,,1,,

5,6,hippie jump,,,,flat,over rail,,Decade of Destruction,2005,to beer swig,,,

6,7,varial kickflip,,,,flat,flat gap,,Decade of Destruction,2005,,,,

7,8,bs nose pick yank out,,1,,transition,pool,,Decade of Destruction,2005,,,,

7,9,rock to fakie,,,,transition,pool,,Decade of Destruction,2005,,,,

8,10,no comply,,,,bank,flat bank,Brooklyn Banks,Decade of Destruction,2005,,,,

9,11,bs carve,,1,,transition,pool,over light,Decade of Destruction,2005,,,,

9,12,pivot to fakie,,1,,transition,pool,,Decade of Destruction,2005,,,,

10,13,bs 50-50 to fs revert,,,,transition,pool,,Decade of Destruction,2005,,,,

11,14,ollie,,1,,flat,into bank,ditch,Decade of Destruction,2005,,,,

11,15,360 flip,,1,,flat,into bank,ditch,Decade of Destruction,2005,,,,

12,16,drop in,,,,transition,street quarter,,Decade of Destruction,2005,into water,1,,

13,17,bs tailblock,,,,transition,pool,,Decade of Destruction,2005,,,,

14,18,fs disaster,,,,transition,pool,,Decade of Destruction,2005,,,,

15,19,fs wallride,,,,wall,bank to wall,,Decade of Destruction,2005,,1,,

16,20,wallride body varial,,,,wall,bank to wall,,Decade of Destruction,2005,,1,,

17,21,ollie,,,,flat,into bank,,Decade of Destruction,2005,,1,,

18,22,fs shove,,1,,flat,up curb,,Decade of Destruction,2005,,,,

18,23,360 flip,,1,,flat,into bank,,Decade of Destruction,2005,,,,

19,24,fs wallride,,,,wall,bank to wall,,Decade of Destruction,2005, ,1,,

20,25,bs ollie to bs tailslide to fakie,,,,transition,street quarter,to table top,Decade of Destruction,2005,,,,

21,26,bs turn to fs tailslide down,,,,transition,street quarter,,Decade of Destruction,2005, ,,,

22,27,bs 180 to sideways bs disaster,,,,transition,street quarter,,Decade of Destruction,2005,SLAP cover,,,

23,28,bs crooked,,,,rail,flat rail,,Decade of Destruction,2005,,1,,

24,29,fs boardslide to fakie,,,,rail,flat rail,,Decade of Destruction,2005,,1,,

25,30,bs 5-0 to bs shove,,,,ledge,,Flushings,Decade of Destruction,2005,,,,

26,31,noseblunt stall yank out,,1,,bank,into bank,ditch,Decade of Destruction,2005,SLAP cover photo,1,,

27,32,bs 180  ,,1,,bank,flat bank,ditch,Decade of Destruction,2005,,1,,

28,33,rock to fakie,,,,transition,street pipe,,Decade of Destruction,2005,, ,,

29,34,5-0 pivot,,,,transition,street pipe,,Decade of Destruction,2005,,,,

30,35,bs kicklfip,,,,bank,flat bank,,Decade of Destruction,2005,,1,,

31,36,pole jam 50-50 to bs 180,,,,rail,flat rail,,Decade of Destruction,2005,,1,,

32,37,switch drop in,1,,,bank,,,Decade of Destruction,2005,,,,

33,38,fs ollie,,,,flat,into bank,,Decade of Destruction,2005,,1,,

34,39,fs lipslide,,,,transition,street quarter,,Decade of Destruction,2005,,1,,

35,40,bs crooked to fakie,,,,rail,flat rail,up,Decade of Destruction,2005,,,,

36,41,fs boardslide transfer to fakie,,,,rail,flat rail, ,Decade of Destruction,2005,reused in Brutality,,,

37,42,bs ollie  ,,,,transition,quarter to quarter,park,Decade of Destruction,2005,,,,

38,43,ollie up to fs disaster,,,,transition,quarter to quarter,park,Decade of Destruction,2005,,,,

39,44,bs nosebluntslide,,,,ledge,banked ledge,ditch,Decade of Destruction,2005,,,,

40,45,fs crailslide,,,,transition,pool,,Decade of Destruction,2005,,,,

41,46,varial heelflip to fakie,,,,bank,flat bank,,Decade of Destruction,2005, ,1,,

42,47,bs 360 ollie,,,,bank,hip,,Decade of Destruction,2005,,1,,

43,48,sideways rock,,,,transition,street quarter,,Decade of Destruction,2005,,,,

44,49,fs nosegrind,,,,ledge,into bank,,Decade of Destruction,2005,,1,,

45,50,bs 360 ollie,,,,flat,flat gap,,Decade of Destruction,2005,,1,,

46,51,varial heelflip  ,,,,flat,into bank,,Decade of Destruction,2005,,1,,

47,52,ollie,,,,gap,bank to bank,,Decade of Destruction,2005,,1,,

48,53,fs big spin,,,,flat,into bank,,Decade of Destruction,2005,,1,,

