guest,favorite skater,favorite style,biggest influence,most talented
danny fuenzalida,tom penny/mark appleyard/ish cepeda/silas baxter neal/mark suciu/gustav tønnesen,gustav tønnesen,danny way/pat duffy/tim o'connor/donny barley/quim cardona,daewon song
john fitzgerald,wade speyer,sean sheffey,sean sheffey/wade speyer/brian anderson,ishod wair
jimmy gorecki,kevin taylor,rob welsh,jr neebs,tony montgomery
tom karangelov,ed templeton/omar salazar,omar salazar,ed templeton,daewon song
john rattray,john cardiel,,sean sheffey,ishod wair
oskar rosenberg,ville wester,tom penny,david stenström,antwuan dixon
curren caples,grant taylor,grant taylor,bob burnquist,eric koston
miles silvas,tiago lemos,tiago lemos,p rod,ishod wair/shane o'neill??
kris brown,ishod wair,caleb barnett,ishod wair,troy gipson
anthony correa,keith hufnagel,gino iannucci,keith hufnagel,zered bassett
jack curtin,gino iannucci,gino iannucci,ave,ishod wair
donny barley,eric dressen,chico brenes,wade speyer,tom penny
tyler surrey,jake johnson,tom penny,tom penny,pj ladd
fabiana delfino,t-funk,chris colbourn,florida skate scene,andy anderson
kevin braun,henry gartland,nick boserio,bobby de kaiser,erick winkowski
daniel shimizu,mike carroll,gino iannucci,mid 90s skaters,daewon song
nick boserio,my friends,john cardiel,mark appleyard,grant taylor
taylor kirby,ishod wair,rowan zorilla,grant taylor,ishod wair
kader sylla,rowan zorilla,troy gipson,rowan zorilla,gustav tonneson
omar hassan,mark gonzales,chris miller,mark gonzales,danny way
JP souza,antwuan dixon,antwuan dixon,jb gillet,shane o'neill
zion wright,ishod wair,rowan zorilla,grant taylor,all my homies
wade fyfe,wade fyfe,,,russ milligan
clyde singleton,sal barbier,julien stranger,sean sheffey,mark suciu
chris wimer,figgy,jon allie,jon allie,ishod wair
zachary kovacs,nick michel,nick michel,leo romero,leo romero
reese forbes,natas kaupas,mark gonzales,sean sheffey,nyjah huston
lee smith,brian lotti,kenny anderson,mike carroll,rodney mullen
lui elliot,dylan rieder,dylan rieder,keith hufnagel,tyshawn jones
jake hayes,andrew reynolds,bryan herman,arto saari,ishod wair
nicole hause,grant taylor,grant taylor,grant taylor,yuto horigome
josh kalis,mike carroll/kareem campbell,kareem campbell,EMB*,daewon song
hermann stene,grant taylor,grant taylor,andrew reynolds,tiago lemos
jerry fowler,mark gonzales,kenny anderson,ricky oyola,tiago lemos
rowan zorilla,ali boulala,kader,taylor smith,grant taylor
tre williams,ishod wair,ishod wair,ishod wair,yuto horigome
mike york,jason lee,gino iannucci,mark gonzales,daewon song
ronnie kessner,ishod wair,bobby dekeyser,chris cole,shane o'neill
